Id,Label,Type,Broadcaster_type,Views
473493698,FlynnOk,,partner,152125
169188075,neeko,,partner,1142253
25458544,Sequisha,,partner,15018869
11897156,Roflgator,,partner,3011989
191477618,jvna,,partner,1716306
182069350,GoneDoc,,partner,1838095
101141995,Crusader3455,,partner,1077162
44021076,zega26,,affiliate,24289
26903378,heyimbee,,partner,6150387
536591115,drsarcasm_,,,0
446695251,imnaughty183,,,1
464363891,shred14,,,0
200313126,IrishNoIe6,,,202
536590001,gianluca080904,,,0
88033788,Nikevapor04,,,0
110747146,redskinspg88,,,49
473733520,tyler__ryan,,,0
102272984,crypticful,,,0
536587801,wavvy_knockout,,,0
515409494,swolff_5150,,,0
410388198,bonkersdeedy,,,46
510904301,ghostlyy456,,,0
150964643,theshowershark,,,0
457611982,adhemar32,,,0
536587730,diegoo2point0,,,0
536587479,venom1245335,,,0
202302704,hazemhazem12,,,2
533441476,damjan_182,,,0
475607706,josephvanaeken,,,0
193365768,GD_booya,,affiliate,75660
81687332,cloakzy,,partner,33449738
110567567,Testyment,,partner,109608
108421263,Temperrr,,partner,694474
6431685,KontrolFreek,,affiliate,25871
15386355,ImMarksman,,partner,5685384
73976931,NateGibson,,partner,380418
196668687,TheBoiSantana,,affiliate,46139
268922760,NataaGataa,,partner,669211
80443542,Redman_Lyons,,partner,288936
32518016,Hustlerette,,affiliate,56159
22536407,Censor,,partner,2311586
75984719,Boss__Lady,,affiliate,28680
63000646,RDCgaming,,partner,494958
166484560,Juju,,partner,492152
219325720,DBook,,partner,283701
41749640,Avalanche,,partner,920025
122101897,Alex_Zedra,,partner,1300263
468634085,MeekMill,,,8288
212124784,CorinnaKopf,,affiliate,2863476
126896783,Gibby_180,,,5
509663116,inees_2,,,0
453427832,cornxd123,,,9
449440969,caja1105,,,2
175875291,ralphie169,,,0
529361818,zander_1324,,,0
103018647,Ryan_m_robinson,,,2
94581637,TheAlchemist7,,,4
534777763,houlamik,,,0
57072797,IamVeryConfuzzled,,,0
189022355,botm4un,,,2
496794264,shaheeed14,,,0
191690262,xXFluteMasterXx,,,5
239648277,tayden323,,,3
531386960,dannydandanii,,,5
78456306,LoftyDolphin,,,20
185426743,oddSully,,,15
202201045,isma_k,,,3
232427722,jeikoubu696,,,1
249626297,kawtto,,,11
30105209,puncayshun,,partner,10073358
69031635,Speedrun,,partner,14857926
35780889,Simply,,partner,1599257
109069634,rsgloryandgold,,partner,4179096
141122650,gusjohnson,,partner,73512
101368940,Summoningsalt,,partner,202540
84432477,SwaggerSouls,,partner,1959100
179860029,Jawsh,,partner,711256
48367280,Dwhatever,,partner,335177
81298008,Ambish,,partner,1772474
31468943,SimpleFlips,,,4838165
47303560,jonathanantoine,,affiliate,8356
117083340,TPAIN,,partner,1896015
185048086,WilburSoot,,partner,1273402
132969119,akki941,,partner,126001
31582036,Wilko,,partner,1328361
56962861,DSKoopa,,partner,1433010
252736634,Zedd,,partner,4751407
66839428,Sobiez,,,180
536591188,garzaangel010,,,0
460262137,xxsergizx,,,0
525616297,blincrakr,,,0
476189689,zannotx,,,1
536590445,glitchtaxx,,,0
485953958,elpisters_,,,56
274891184,chaparroflores19,,,24
536588092,danieldrop17,,,0
534083464,gonzalo27yt,,,0
497564155,liam_edu,,,0
536588985,ariel_s_13,,,0
466647506,madridista47_jos,,,0
536590323,emvimerx,,,0
441199877,mbheidari188,,,0
536575635,will_jvn,,,0
536454402,alexgignac477,,,0
536289448,el_pana_col,,,0
405613151,xsebasx1219,,,0
424835744,ElClassified,,affiliate,1703
521266638,naamah_17,,,0
29249710,SkyshockTV,,partner,4525142
401850133,YOLOAVENTURAS,,partner,1129419
106672347,MrsBonniie,,partner,304074
142932807,iaaras2,,partner,5767460
173131967,Melisae,,affiliate,91033
488095564,LaCovachaTV,,affiliate,8603
83232866,ibai,,partner,33442807
431358600,NaniiCute,,affiliate,33605
446139551,RompeRedes,,partner,33566
459331509,auronplay,,partner,22968180
236382005,SCHEBEU,,partner,105982
195299952,JavierMtz,,partner,59899
74496155,LaGigi,,affiliate,150312
222387437,xlightmoonx,,partner,1737475
207879899,Sailornat,,affiliate,14844
157658336,ElSpreen,,partner,135112
189260132,natalan,,partner,1182972
100625840,komanche,,partner,348251
422510992,The_Locochon,,partner,230293
211894574,carlosoliveira5855,,,0
516394775,yanshowsa,,,0
482038858,thiagobiavatt,,,0
250008671,rgbkz,,,2
232882596,lolic13f,,,0
530450051,farmador_de_keys,,,0
524615358,rodolfobr93,,,0
46716759,wolfphere,,,836
153429354,guuhmilanesi,,,66
192083770,aauura,,,908
56869573,edmoluizfilho,,,20
145433298,mb_crowley,,,13
456620504,xcsmxx,,,1
75576635,sildiam,,,6
457003096,mcosta3,,,0
422099075,patarra08,,,0
129074435,fusi0n11,,,1173
430925107,aynami_,,,0
468092175,tlmtheprodigy,,,158
514604896,frikkzgodz,,,10
233171540,lul1z,,affiliate,29227
53052202,ricardoboltz,,partner,1897634
77652704,IngridFavret,,partner,232285
65940506,chelok1ng,,partner,209390
110345741,gabssf,,partner,430055
401618499,isabellacz,,affiliate,33799
176535480,emanuelebaarros,,partner,1029951
141916462,jhessytv,,affiliate,42368
106798269,nanfps1,,partner,705023
52614128,thedarkness,,partner,26230827
165072546,NoobeiEGravei,,partner,1337065
258574797,kryzafps,,partner,893824
36495270,BALEROSTYLE,,affiliate,4259408
174805181,Dilera,,affiliate,1913212
81795595,1cePrime,,partner,3370835
181077473,gaules,,partner,129110863
63602976,SkipNhO,,partner,58495934
144134724,mamacitadoglobal,,partner,54914
66076836,Stewie2K,,partner,14499294
45902231,BrisaSuaveF,,partner,6282446
527046721,nikensi,,,2
536590528,santi_delsol_2001,,,0
536591026,martinlarro,,,0
536497861,masca_pitos,,,3
535714832,delficortez2020,,,0
536589783,owenmendez07,,,0
536588224,alfis04,,,0
463857223,danigmbn,,,0
536557700,delfigusso,,,0
536589108,sssstrrr1_,,,0
536588882,juli_tetii,,,0
534819638,balsasfranco,,,0
250509620,matrix_ctm_live,,,24
536587469,rammma12345,,,0
536579463,julian_bogado16,,,0
536579851,axel_1we,,,0
536584721,nikobolso21,,,0
531843532,sandoprro,,,0
536547719,spam_autoaim_pls,,,0
536562274,lihue_bm,,,0
228341122,kunzeratv,,partner,79509
64323296,Livvvid,,affiliate,33112
123782776,tarzaned,,partner,14044102
187940611,SantiRios9,,,446
500429430,luckraok,,affiliate,14818
144199601,eliminated__,,affiliate,111124
515659681,NicoLechat10,,affiliate,1247
421838340,sashagrey,,partner,5763523
188576942,joaqocolombo,,affiliate,5152
100534455,Pinx3l,,,1606
52168532,ZeKoXx,,partner,385272
46021793,jizakude,,affiliate,46625
489255759,tomasit00,,,940
192329556,urieluno_,,,2940
447933149,TINOhz,,affiliate,3989
508281333,ca_juano,,,140
142951699,tomyyr,,,433
221336247,elrubio01,,affiliate,1078
521231271,elgoyoo,,,554
102404582,silersito23,,partner,1804174
276969523,pepus_cz,,,3
530732027,zdorito5,,,1
527679667,ratilla013,,,0
501059947,josh_33334,,,0
525804302,billy129067,,,0
533917113,torg_alpha,,,0
503244167,matteo5625,,,0
535974779,mrtiko123566,,,0
232984596,abdojo17,,,2
503610368,mertkara27,,,0
536006202,the_silly_samon,,,0
534146476,droppolk,,,1
536405980,ttv_finboland,,,0
402222703,deliveredsquare,,,0
504134497,fire_sniper_b132,,,12
267583622,bill2snowman,,,0
530911348,amiralirs86,,,0
535897664,mr_dlayed,,,0
202094917,ttv_itzluma,,,106
213232428,bradgrif,,affiliate,5666
121706139,TooseFN,,partner,3789928
227780908,freemok2,,partner,1583355
184448016,HippieHabitat,,partner,836247
147046818,CowanDickie,,affiliate,132021
195785035,Deevsy,,affiliate,71339
221923247,mitchyprice,,affiliate,5475
120272980,peakfn,,affiliate,9252
249973597,focuss1x,,affiliate,296824
213479609,x2clxtch,,affiliate,4191
51326395,GwenMelon,,partner,105425
43698331,CoachTimmy,,partner,31521
113723302,asapjoeyx,,affiliate,110132
216510944,GIAKAYTE,,affiliate,2638
176949651,RagehOCE,,,6750
182427515,Letshe,,partner,6431553
179696435,BiggDogz,,affiliate,38599
270854779,tekmarroce,,affiliate,65079
146437742,PriceAK,,affiliate,8600
248389361,lecancar,,affiliate,53053
126441590,thehy3na,,,4
23270047,Timerift,,,563
249125937,xlinus642,,,0
39672497,radiance_voiw,,,207
233670693,scavanas,,,47
213191102,senpaiyash,,,2
148867784,Saesenthessis8,,,17
530274210,asydiccc,,,0
94872484,Umherirrend,,,237
437341860,danicol08,,,0
486283897,mendezqqqqq,,,0
156471387,astrid9414,,,0
457477456,tainguyent,,,0
536561470,jestmorales,,,0
535751174,FAPKenshin,,,26
137213494,Lachoni,,,606
524656759,andresrondon,,,0
45284674,xFajak,,,1
520143885,sneakystinkyratman,,,0
218095818,edifay,,,17
